GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Not Hispanic or Latino:,Margin of Error; Not Hispanic or Latino:,Estimate; Not Hispanic or Latino: - White alone,Margin of Error; Not Hispanic or Latino: - White alone,Estimate; Not Hispanic or Latino: - Black or African American alone,Margin of Error; Not Hispanic or Latino: - Black or African American alone,Estimate; Not Hispanic or Latino: - American Indian and Alaska Native alone,Margin of Error; Not Hispanic or Latino: - American Indian and Alaska Native alone,Estimate; Not Hispanic or Latino: - Asian alone,Margin of Error; Not Hispanic or Latino: - Asian alone,Estimate; Not Hispanic or Latino: - Native Hawaiian and Other Pacific Islander alone,Margin of Error; Not Hispanic or Latino: - Native Hawaiian and Other Pacific Islander alone,Estimate; Not Hispanic or Latino: - Some other race alone,Margin of Error; Not Hispanic or Latino: - Some other race alone,Estimate; Not Hispanic or Latino: - Two or more races:,Margin of Error; Not Hispanic or Latino: - Two or more races:,Estimate; Not Hispanic or Latino: - Two or more races: - Two races including Some other race,Margin of Error; Not Hispanic or Latino: - Two or more races: - Two races including Some other race,"Estimate; Not Hispanic or Latino: - Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Not Hispanic or Latino: - Two or more races: - Two races excluding Some other race, and three or more races",Estimate; Hispanic or Latino:,Margin of Error; Hispanic or Latino:,Estimate; Hispanic or Latino: - White alone,Margin of Error; Hispanic or Latino: - White alone,Estimate; Hispanic or Latino: - Black or African American alone,Margin of Error; Hispanic or Latino: - Black or African American alone,Estimate; Hispanic or Latino: - American Indian and Alaska Native alone,Margin of Error; Hispanic or Latino: - American Indian and Alaska Native alone,Estimate; Hispanic or Latino: - Asian alone,Margin of Error; Hispanic or Latino: - Asian alone,Estimate; Hispanic or Latino: - Native Hawaiian and Other Pacific Islander alone,Margin of Error; Hispanic or Latino: - Native Hawaiian and Other Pacific Islander alone,Estimate; Hispanic or Latino: - Some other race alone,Margin of Error; Hispanic or Latino: - Some other race alone,Estimate; Hispanic or Latino: - Two or more races:,Margin of Error; Hispanic or Latino: - Two or more races:,Estimate; Hispanic or Latino: - Two or more races: - Two races including Some other race,Margin of Error; Hispanic or Latino: - Two or more races: - Two races including Some other race,"Estimate; Hispanic or Latino: - Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Hispanic or Latino: - Two or more races: - Two races excluding Some other race, and three or more races"
1400000US24001000100,24001000100,"Census Tract 1, Allegany County, Maryland",3520,263,3469,266,3318,257,61,81,0,12,52,41,0,12,0,12,38,40,0,12,38,40,51,49,46,49,5,11,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1400000US24001000200,24001000200,"Census Tract 2, Allegany County, Maryland",4076,312,3869,308,2886,280,838,134,32,28,55,64,7,12,0,12,51,45,20,25,31,29,207,66,61,38,33,28,0,12,0,12,0,12,113,63,0,12,0,12,0,12
1400000US24001000300,24001000300,"Census Tract 3, Allegany County, Maryland",2622,200,2578,204,2493,201,36,32,0,12,7,12,0,12,26,29,16,18,0,12,16,18,44,64,44,64,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1400000US24001000400,24001000400,"Census Tract 4, Allegany County, Maryland",2782,313,2731,295,2417,293,229,135,0,12,0,12,0,12,0,12,85,74,0,12,85,74,51,57,21,31,0,12,0,12,0,12,0,12,0,12,30,49,0,12,30,49
1400000US24001000500,24001000500,"Census Tract 5, Allegany County, Maryland",2324,269,2296,267,1728,260,397,139,3,6,0,12,0,12,0,12,168,106,0,12,168,106,28,24,15,19,13,17,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1400000US24001000600,24001000600,"Census Tract 6, Allegany County, Maryland",2789,314,2789,314,2648,313,96,70,5,8,14,21,0,12,0,12,26,25,0,12,26,25,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1400000US24001000700,24001000700,"Census Tract 7, Allegany County, Maryland",3655,309,3561,304,3193,336,283,197,0,12,0,12,0,12,0,12,85,66,0,12,85,66,94,86,32,47,0,12,0,12,0,12,0,12,0,12,62,75,41,44,21,35
1400000US24001000800,24001000800,"Census Tract 8, Allegany County, Maryland",2232,213,2191,218,1988,219,67,57,0,12,16,18,0,12,15,22,105,72,0,12,105,72,41,40,0,12,8,12,0,12,0,12,0,12,20,33,13,15,7,10,6,10
1400000US24001001000,24001001000,"Census Tract 10, Allegany County, Maryland",2480,318,2368,323,2150,325,169,127,5,18,15,18,0,12,0,12,29,29,0,12,29,29,112,116,112,116,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
