GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD01_VD02,HD01_VD03,HD01_VD04,HD01_VD05,HD01_VD06,HD01_VD07,HD01_VD08,HD01_VD09,HD01_VD10,HD01_VD11,HD01_VD12,HD01_VD13,HD01_VD14,HD01_VD15,HD01_VD16,HD01_VD17,HD01_VD18,HD01_VD19,HD01_VD20,HD01_VD21
Id,Id2,Geography,Estimate; Total:,Estimate; Not Hispanic or Latino:,Estimate; Not Hispanic or Latino: - White alone,Estimate; Not Hispanic or Latino: - Black or African American alone,Estimate; Not Hispanic or Latino: - American Indian and Alaska Native alone,Estimate; Not Hispanic or Latino: - Asian alone,Estimate; Not Hispanic or Latino: - Native Hawaiian and Other Pacific Islander alone,Estimate; Not Hispanic or Latino: - Some other race alone,Estimate; Not Hispanic or Latino: - Two or more races:,Estimate; Not Hispanic or Latino: - Two or more races: - Two races including Some other race,"Estimate; Not Hispanic or Latino: - Two or more races: - Two races excluding Some other race, and three or more races",Estimate; Hispanic or Latino:,Estimate; Hispanic or Latino: - White alone,Estimate; Hispanic or Latino: - Black or African American alone,Estimate; Hispanic or Latino: - American Indian and Alaska Native alone,Estimate; Hispanic or Latino: - Asian alone,Estimate; Hispanic or Latino: - Native Hawaiian and Other Pacific Islander alone,Estimate; Hispanic or Latino: - Some other race alone,Estimate; Hispanic or Latino: - Two or more races:,Estimate; Hispanic or Latino: - Two or more races: - Two races including Some other race,"Estimate; Hispanic or Latino: - Two or more races: - Two races excluding Some other race, and three or more races"
1400000US33001965100,33001965100,"Census Tract 9651, Belknap County, New Hampshire",3276,3250,2935,81,7,66,0,0,161,0,161,26,20,0,0,0,0,0,6,6,0
1400000US33001965200,33001965200,"Census Tract 9652, Belknap County, New Hampshire",3130,3012,2888,0,0,22,0,0,102,0,102,118,82,0,0,0,0,0,36,15,21
1400000US33001965300,33001965300,"Census Tract 9653, Belknap County, New Hampshire",3204,3189,3154,28,0,7,0,0,0,0,0,15,15,0,0,0,0,0,0,0,0
1400000US33001965400,33001965400,"Census Tract 9654, Belknap County, New Hampshire",2973,2926,2804,16,0,31,16,0,59,0,59,47,47,0,0,0,0,0,0,0,0
1400000US33001965598,33001965598,"Census Tract 9655.98, Belknap County, New Hampshire",3555,3506,3402,31,22,18,0,0,33,0,33,49,49,0,0,0,0,0,0,0,0
1400000US33001965600,33001965600,"Census Tract 9656, Belknap County, New Hampshire",3740,3661,3479,21,10,75,0,0,76,0,76,79,59,0,0,0,0,20,0,0,0
1400000US33001965700,33001965700,"Census Tract 9657, Belknap County, New Hampshire",4615,4587,4460,0,0,69,0,0,58,0,58,28,28,0,0,0,0,0,0,0,0
1400000US33001965800,33001965800,"Census Tract 9658, Belknap County, New Hampshire",7275,7135,7066,0,0,0,0,0,69,0,69,140,98,0,42,0,0,0,0,0,0
1400000US33001965900,33001965900,"Census Tract 9659, Belknap County, New Hampshire",3977,3888,3782,2,0,33,0,0,71,0,71,89,89,0,0,0,0,0,0,0,0
1400000US33001966000,33001966000,"Census Tract 9660, Belknap County, New Hampshire",5009,4859,4725,0,0,0,0,36,98,0,98,150,145,5,0,0,0,0,0,0,0
1400000US33001966100,33001966100,"Census Tract 9661, Belknap County, New Hampshire",4173,4063,3942,0,0,75,0,0,46,0,46,110,110,0,0,0,0,0,0,0,0
1400000US33001966200,33001966200,"Census Tract 9662, Belknap County, New Hampshire",3078,3077,2945,80,10,7,0,0,35,0,35,1,0,0,0,0,0,1,0,0,0
1400000US33001966401,33001966401,"Census Tract 9664.01, Belknap County, New Hampshire",1262,1207,1198,0,9,0,0,0,0,0,0,55,55,0,0,0,0,0,0,0,0
1400000US33001966402,33001966402,"Census Tract 9664.02, Belknap County, New Hampshire",5849,5839,5636,0,37,157,0,0,9,0,9,10,10,0,0,0,0,0,0,0,0
1400000US33001966500,33001966500,"Census Tract 9665, Belknap County, New Hampshire",5267,5233,5107,26,35,19,0,29,17,0,17,34,31,0,0,0,0,3,0,0,0
1400000US33003955100,33003955100,"Census Tract 9551, Carroll County, New Hampshire",3928,3897,3839,3,2,2,0,0,51,0,51,31,27,1,0,0,0,3,0,0,0
1400000US33003955300,33003955300,"Census Tract 9553, Carroll County, New Hampshire",6064,5991,5810,62,0,3,0,0,116,45,71,73,56,0,0,0,0,0,17,0,17
1400000US33003955400,33003955400,"Census Tract 9554, Carroll County, New Hampshire",4296,4231,3990,0,9,112,0,0,120,0,120,65,65,0,0,0,0,0,0,0,0
1400000US33003955500,33003955500,"Census Tract 9555, Carroll County, New Hampshire",2839,2831,2740,20,0,19,0,0,52,0,52,8,8,0,0,0,0,0,0,0,0
1400000US33003955600,33003955600,"Census Tract 9556, Carroll County, New Hampshire",5041,5012,4921,46,5,0,0,3,37,0,37,29,29,0,0,0,0,0,0,0,0
1400000US33003955800,33003955800,"Census Tract 9558, Carroll County, New Hampshire",2749,2749,2722,0,0,3,0,0,24,0,24,0,0,0,0,0,0,0,0,0,0
1400000US33003955900,33003955900,"Census Tract 9559, Carroll County, New Hampshire",4287,4198,3955,94,21,0,0,0,128,35,93,89,85,0,0,0,0,0,4,0,4
1400000US33003956000,33003956000,"Census Tract 9560, Carroll County, New Hampshire",5883,5799,5770,8,0,5,0,0,16,0,16,84,84,0,0,0,0,0,0,0,0
1400000US33003956100,33003956100,"Census Tract 9561, Carroll County, New Hampshire",6235,6065,5948,0,0,83,0,0,34,0,34,170,168,0,0,0,0,2,0,0,0
1400000US33003956300,33003956300,"Census Tract 9563, Carroll County, New Hampshire",4049,4018,3889,0,0,52,8,7,62,0,62,31,30,1,0,0,0,0,0,0,0
1400000US33003956400,33003956400,"Census Tract 9564, Carroll County, New Hampshire",2153,2084,2084,0,0,0,0,0,0,0,0,69,58,0,0,0,0,0,11,0,11
1400000US33005970100,33005970100,"Census Tract 9701, Cheshire County, New Hampshire",4141,4096,4008,9,9,12,0,7,51,0,51,45,25,0,0,0,0,9,11,11,0
1400000US33005970200,33005970200,"Census Tract 9702, Cheshire County, New Hampshire",3809,3800,3747,0,22,12,0,0,19,0,19,9,9,0,0,0,0,0,0,0,0
1400000US33005970400,33005970400,"Census Tract 9704, Cheshire County, New Hampshire",5109,4994,4899,23,3,20,0,5,44,0,44,115,85,0,0,0,0,0,30,0,30
1400000US33005970500,33005970500,"Census Tract 9705, Cheshire County, New Hampshire",5314,5276,5146,0,8,104,0,0,18,0,18,38,0,0,0,0,0,38,0,0,0
1400000US33005970600,33005970600,"Census Tract 9706, Cheshire County, New Hampshire",6005,5894,5591,67,0,120,0,0,116,0,116,111,34,4,0,0,0,11,62,44,18
1400000US33005970700,33005970700,"Census Tract 9707, Cheshire County, New Hampshire",3537,3515,3459,0,4,15,0,0,37,0,37,22,18,0,0,0,0,4,0,0,0
1400000US33005970800,33005970800,"Census Tract 9708, Cheshire County, New Hampshire",4307,4259,4020,39,14,78,5,0,103,0,103,48,14,0,6,0,0,15,13,0,13
1400000US33005970900,33005970900,"Census Tract 9709, Cheshire County, New Hampshire",7169,6990,6711,0,22,161,0,0,96,16,80,179,143,0,0,0,0,36,0,0,0
1400000US33005971000,33005971000,"Census Tract 9710, Cheshire County, New Hampshire",5686,5621,5107,54,0,250,0,0,210,73,137,65,0,0,0,0,0,0,65,39,26
1400000US33005971100,33005971100,"Census Tract 9711, Cheshire County, New Hampshire",5103,4948,4625,129,0,40,0,0,154,0,154,155,0,70,0,0,0,63,22,22,0
1400000US33005971300,33005971300,"Census Tract 9713, Cheshire County, New Hampshire",3290,3177,3030,39,0,47,0,0,61,9,52,113,71,0,0,0,0,0,42,42,0
1400000US33005971401,33005971401,"Census Tract 9714.01, Cheshire County, New Hampshire",5389,5167,4845,94,25,9,0,44,150,0,150,222,195,2,6,0,0,19,0,0,0
1400000US33005971402,33005971402,"Census Tract 9714.02, Cheshire County, New Hampshire",3736,3709,3563,0,0,64,0,0,82,0,82,27,27,0,0,0,0,0,0,0,0
1400000US33005971500,33005971500,"Census Tract 9715, Cheshire County, New Hampshire",5368,5328,5273,5,0,15,20,0,15,0,15,40,37,0,0,0,0,3,0,0,0
1400000US33005971600,33005971600,"Census Tract 9716, Cheshire County, New Hampshire",3925,3856,3813,30,0,0,0,0,13,0,13,69,57,0,0,0,0,12,0,0,0
1400000US33005971700,33005971700,"Census Tract 9717, Cheshire County, New Hampshire",4221,4177,4093,17,18,23,0,0,26,0,26,44,44,0,0,0,0,0,0,0,0
1400000US33007950100,33007950100,"Census Tract 9501, Coos County, New Hampshire",1921,1914,1841,8,3,0,7,0,55,0,55,7,7,0,0,0,0,0,0,0,0
1400000US33007950200,33007950200,"Census Tract 9502, Coos County, New Hampshire",2790,2779,2730,5,5,23,0,0,16,0,16,11,11,0,0,0,0,0,0,0,0
1400000US33007950300,33007950300,"Census Tract 9503, Coos County, New Hampshire",1869,1851,1823,3,0,5,0,0,20,2,18,18,18,0,0,0,0,0,0,0,0
1400000US33007950400,33007950400,"Census Tract 9504, Coos County, New Hampshire",3526,3513,3366,21,26,31,0,0,69,0,69,13,11,0,0,0,0,0,2,0,2
1400000US33007950500,33007950500,"Census Tract 9505, Coos County, New Hampshire",3341,3331,3267,32,0,0,0,0,32,25,7,10,10,0,0,0,0,0,0,0,0
1400000US33007950600,33007950600,"Census Tract 9506, Coos County, New Hampshire",4699,4322,3631,568,9,22,30,11,51,0,51,377,163,29,0,0,0,144,41,35,6
1400000US33007950700,33007950700,"Census Tract 9507, Coos County, New Hampshire",3239,3224,3203,0,0,0,0,0,21,0,21,15,15,0,0,0,0,0,0,0,0
1400000US33007950800,33007950800,"Census Tract 9508, Coos County, New Hampshire",2335,2328,2280,9,23,0,0,0,16,7,9,7,7,0,0,0,0,0,0,0,0
1400000US33007950900,33007950900,"Census Tract 9509, Coos County, New Hampshire",3041,2972,2849,2,40,58,0,0,23,0,23,69,32,0,0,0,0,0,37,0,37
1400000US33007951000,33007951000,"Census Tract 9510, Coos County, New Hampshire",2163,2154,2099,25,0,21,0,0,9,0,9,9,7,0,0,0,0,0,2,2,0
1400000US33007951100,33007951100,"Census Tract 9511, Coos County, New Hampshire",3195,3182,2969,66,31,22,0,0,94,0,94,13,11,0,1,0,0,1,0,0,0
1400000US33009960100,33009960100,"Census Tract 9601, Grafton County, New Hampshire",5911,5830,5708,26,40,40,0,0,16,0,16,81,81,0,0,0,0,0,0,0,0
1400000US33009960200,33009960200,"Census Tract 9602, Grafton County, New Hampshire",4269,4208,4085,0,85,14,3,0,21,0,21,61,31,0,0,22,0,0,8,0,8
1400000US33009960300,33009960300,"Census Tract 9603, Grafton County, New Hampshire",4929,4883,4799,0,8,22,0,8,46,0,46,46,35,0,0,0,0,0,11,11,0
1400000US33009960400,33009960400,"Census Tract 9604, Grafton County, New Hampshire",3506,3429,3287,7,0,85,0,0,50,0,50,77,77,0,0,0,0,0,0,0,0
1400000US33009960500,33009960500,"Census Tract 9605, Grafton County, New Hampshire",2462,2403,2331,8,13,12,4,0,35,0,35,59,54,0,0,0,0,0,5,0,5
1400000US33009960600,33009960600,"Census Tract 9606, Grafton County, New Hampshire",4610,4519,4400,7,0,28,0,0,84,0,84,91,88,0,0,0,0,3,0,0,0
1400000US33009960700,33009960700,"Census Tract 9607, Grafton County, New Hampshire",3275,3207,2961,43,11,183,0,0,9,0,9,68,30,0,5,0,0,30,3,3,0
1400000US33009960800,33009960800,"Census Tract 9608, Grafton County, New Hampshire",4991,4990,4740,1,0,40,2,0,207,0,207,1,1,0,0,0,0,0,0,0,0
1400000US33009960900,33009960900,"Census Tract 9609, Grafton County, New Hampshire",3188,3021,2920,8,10,45,0,0,38,0,38,167,99,12,0,0,0,9,47,0,47
1400000US33009961000,33009961000,"Census Tract 9610, Grafton County, New Hampshire",6690,6494,6039,79,0,157,12,0,207,31,176,196,75,121,0,0,0,0,0,0,0
1400000US33009961100,33009961100,"Census Tract 9611, Grafton County, New Hampshire",4538,4491,4314,97,12,0,0,0,68,5,63,47,47,0,0,0,0,0,0,0,0
1400000US33009961200,33009961200,"Census Tract 9612, Grafton County, New Hampshire",4075,4053,4007,0,0,10,0,0,36,7,29,22,22,0,0,0,0,0,0,0,0
1400000US33009961300,33009961300,"Census Tract 9613, Grafton County, New Hampshire",3427,3369,3227,78,0,40,1,3,20,0,20,58,9,10,16,0,0,4,19,9,10
