GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - White alone,Margin of Error; Total: - White alone,Estimate; Total: - Black or African American alone,Margin of Error; Total: - Black or African American alone,Estimate; Total: - American Indian and Alaska Native alone,Margin of Error; Total: - American Indian and Alaska Native alone,Estimate; Total: - Asian alone,Margin of Error; Total: - Asian alone,Estimate; Total: - Native Hawaiian and Other Pacific Islander alone,Margin of Error; Total: - Native Hawaiian and Other Pacific Islander alone,Estimate; Total: - Some other race alone,Margin of Error; Total: - Some other race alone,Estimate; Total: - Two or more races:,Margin of Error; Total: - Two or more races:,Estimate; Total: - Two or more races: - Two races including Some other race,Margin of Error; Total: - Two or more races: - Two races including Some other race,"Estimate; Total: - Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Total: - Two or more races: - Two races excluding Some other race, and three or more races"
1400000US33001965100,33001965100,"Census Tract 9651, Belknap County, New Hampshire",3276,17,2955,110,81,58,7,10,66,82,0,11,0,11,167,90,6,11,161,91
1400000US33001965200,33001965200,"Census Tract 9652, Belknap County, New Hampshire",3130,287,2970,295,0,11,0,11,22,32,0,11,0,11,138,71,15,24,123,73
1400000US33001965300,33001965300,"Census Tract 9653, Belknap County, New Hampshire",3204,287,3169,284,28,47,0,11,7,11,0,11,0,11,0,11,0,11,0,11
1400000US33001965400,33001965400,"Census Tract 9654, Belknap County, New Hampshire",2973,16,2851,120,16,20,0,11,31,44,16,20,0,11,59,60,0,11,59,60
1400000US33001965598,33001965598,"Census Tract 9655.98, Belknap County, New Hampshire",3555,21,3451,58,31,43,22,31,18,18,0,11,0,11,33,27,0,11,33,27
1400000US33001965600,33001965600,"Census Tract 9656, Belknap County, New Hampshire",3740,30,3538,101,21,28,10,15,75,70,0,11,20,30,76,53,0,11,76,53
1400000US33001965700,33001965700,"Census Tract 9657, Belknap County, New Hampshire",4615,16,4488,118,0,11,0,11,69,75,0,11,0,11,58,52,0,11,58,52
1400000US33001965800,33001965800,"Census Tract 9658, Belknap County, New Hampshire",7275,17,7164,100,0,16,42,57,0,16,0,16,0,16,69,74,0,16,69,74
1400000US33001965900,33001965900,"Census Tract 9659, Belknap County, New Hampshire",3977,338,3871,336,2,4,0,11,33,42,0,11,0,11,71,88,0,11,71,88
1400000US33001966000,33001966000,"Census Tract 9660, Belknap County, New Hampshire",5009,536,4870,524,5,10,0,16,0,16,0,16,36,58,98,81,0,16,98,81
1400000US33001966100,33001966100,"Census Tract 9661, Belknap County, New Hampshire",4173,409,4052,398,0,11,0,11,75,57,0,11,0,11,46,50,0,11,46,50
1400000US33001966200,33001966200,"Census Tract 9662, Belknap County, New Hampshire",3078,343,2945,349,80,91,10,15,7,14,0,11,1,3,35,36,0,11,35,36
1400000US33001966401,33001966401,"Census Tract 9664.01, Belknap County, New Hampshire",1262,192,1253,192,0,11,9,14,0,11,0,11,0,11,0,11,0,11,0,11
1400000US33001966402,33001966402,"Census Tract 9664.02, Belknap County, New Hampshire",5849,196,5646,234,0,16,37,40,157,130,0,16,0,16,9,18,0,16,9,18
1400000US33001966500,33001966500,"Census Tract 9665, Belknap County, New Hampshire",5267,14,5138,98,26,40,35,46,19,29,0,16,32,48,17,27,0,16,17,27
1400000US33003955100,33003955100,"Census Tract 9551, Carroll County, New Hampshire",3928,226,3866,221,4,6,2,3,2,4,0,11,3,6,51,54,0,11,51,54
1400000US33003955300,33003955300,"Census Tract 9553, Carroll County, New Hampshire",6064,418,5866,437,62,65,0,16,3,5,0,16,0,16,133,93,45,65,88,59
1400000US33003955400,33003955400,"Census Tract 9554, Carroll County, New Hampshire",4296,397,4055,385,0,11,9,15,112,89,0,11,0,11,120,84,0,11,120,84
1400000US33003955500,33003955500,"Census Tract 9555, Carroll County, New Hampshire",2839,69,2748,87,20,23,0,11,19,28,0,11,0,11,52,50,0,11,52,50
1400000US33003955600,33003955600,"Census Tract 9556, Carroll County, New Hampshire",5041,233,4950,215,46,53,5,6,0,16,0,16,3,5,37,42,0,16,37,42
1400000US33003955800,33003955800,"Census Tract 9558, Carroll County, New Hampshire",2749,213,2722,210,0,11,0,11,3,5,0,11,0,11,24,20,0,11,24,20
1400000US33003955900,33003955900,"Census Tract 9559, Carroll County, New Hampshire",4287,18,4040,124,94,76,21,34,0,11,0,11,0,11,132,78,35,54,97,59
1400000US33003956000,33003956000,"Census Tract 9560, Carroll County, New Hampshire",5883,261,5854,256,8,13,0,16,5,11,0,16,0,16,16,24,0,16,16,24
1400000US33003956100,33003956100,"Census Tract 9561, Carroll County, New Hampshire",6235,19,6116,89,0,16,0,16,83,77,0,16,2,5,34,39,0,16,34,39
1400000US33003956300,33003956300,"Census Tract 9563, Carroll County, New Hampshire",4049,20,3919,88,1,2,0,11,52,57,8,14,7,11,62,54,0,11,62,54
1400000US33003956400,33003956400,"Census Tract 9564, Carroll County, New Hampshire",2153,183,2142,182,0,11,0,11,0,11,0,11,0,11,11,13,0,11,11,13
1400000US33005970100,33005970100,"Census Tract 9701, Cheshire County, New Hampshire",4141,226,4033,225,9,12,9,16,12,11,0,11,16,14,62,41,11,12,51,40
1400000US33005970200,33005970200,"Census Tract 9702, Cheshire County, New Hampshire",3809,18,3756,48,0,11,22,35,12,21,0,11,0,11,19,19,0,11,19,19
1400000US33005970400,33005970400,"Census Tract 9704, Cheshire County, New Hampshire",5109,224,4984,230,23,26,3,4,20,16,0,16,5,8,74,42,0,16,74,42
1400000US33005970500,33005970500,"Census Tract 9705, Cheshire County, New Hampshire",5314,26,5146,126,0,16,8,13,104,110,0,16,38,46,18,25,0,16,18,25
1400000US33005970600,33005970600,"Census Tract 9706, Cheshire County, New Hampshire",6005,33,5625,195,71,41,0,16,120,120,0,16,11,18,178,91,44,60,134,69
1400000US33005970700,33005970700,"Census Tract 9707, Cheshire County, New Hampshire",3537,213,3477,214,0,11,4,5,15,14,0,11,4,5,37,38,0,11,37,38
1400000US33005970800,33005970800,"Census Tract 9708, Cheshire County, New Hampshire",4307,314,4034,309,39,52,20,19,78,57,5,10,15,15,116,82,0,11,116,82
1400000US33005970900,33005970900,"Census Tract 9709, Cheshire County, New Hampshire",7169,37,6854,185,0,16,22,24,161,124,0,16,36,54,96,93,16,31,80,86
1400000US33005971000,33005971000,"Census Tract 9710, Cheshire County, New Hampshire",5686,318,5107,390,54,41,0,16,250,163,0,16,0,16,275,147,112,104,163,100
1400000US33005971100,33005971100,"Census Tract 9711, Cheshire County, New Hampshire",5103,415,4625,474,199,144,0,16,40,53,0,16,63,96,176,141,22,33,154,133
1400000US33005971300,33005971300,"Census Tract 9713, Cheshire County, New Hampshire",3290,285,3101,294,39,32,0,11,47,71,0,11,0,11,103,91,51,78,52,48
1400000US33005971401,33005971401,"Census Tract 9714.01, Cheshire County, New Hampshire",5389,371,5040,369,96,50,31,25,9,12,0,16,63,71,150,61,0,16,150,61
1400000US33005971402,33005971402,"Census Tract 9714.02, Cheshire County, New Hampshire",3736,289,3590,282,0,11,0,11,64,48,0,11,0,11,82,66,0,11,82,66
1400000US33005971500,33005971500,"Census Tract 9715, Cheshire County, New Hampshire",5368,237,5310,233,5,6,0,16,15,19,20,29,3,5,15,23,0,16,15,23
1400000US33005971600,33005971600,"Census Tract 9716, Cheshire County, New Hampshire",3925,20,3870,49,30,38,0,11,0,11,0,11,12,19,13,20,0,11,13,20
1400000US33005971700,33005971700,"Census Tract 9717, Cheshire County, New Hampshire",4221,15,4137,60,17,28,18,26,23,33,0,11,0,11,26,24,0,11,26,24
1400000US33007950100,33007950100,"Census Tract 9501, Coos County, New Hampshire",1921,205,1848,199,8,14,3,5,0,11,7,13,0,11,55,45,0,11,55,45
1400000US33007950200,33007950200,"Census Tract 9502, Coos County, New Hampshire",2790,203,2741,203,5,8,5,7,23,36,0,11,0,11,16,14,0,11,16,14
